author_id,name,pos,org,paper_id
44905,"c s xiong",12,"Department of Physics",148744
212524,"xin mei wang",2,"Department of Ophthalmology",97680
2850,"j f wang",1,"Physics Department",33434
276637,"wen sheng yi",3,"College of Computer",131662
181850,"f gao",4,"College of Animal Science and Technology Key Laboratory of Animal Origin Food Production and Safety Guarantee Synergetic Innovation Centre of Food Safety and Nutrition Nanjing Agricultural University",80719
162154,"sihua peng",0,"Guangdong Key Laboratory of Clean Energy Technology South China University of Technology",71097
148217,"xin hua zhng",4,"Department of Pathology",64708
143673,"ke zhu",0,"Department of Biochemistry and Physiology Rush University Medical Center 518 Cohn Research Bldg",153891
364008,"jing luo",0,"Laboratory of Mental Health",178236
379549,"min zheng",1,"Department of Dermatology Peking University First Hospital",187155
46826,"s x xie",0,"CNPC Research Institute of Safety and Environment Technology",148992
160807,"y b lin",0,"Department of Physics",70524
122044,"yibo fan",1,"State Key Lab of ASIC and System Fudan University",91765
1965,"b shen",0,"Dept Phys Inst Solid State Phys",652
236851,"zhimin hu",4,"Research Center of Laser Fusion",110938
327912,"kyria l boundy mills",3,"Department of Viticulture and Enology",158952
181817,"y zhang",8,"Department of Pediatrics",80710
237397,"chun feng ni",1,"Shazhou Institute of Technology",111224
167799,"kangmin zhong",2,"School of Mechanical and Electrical Engineering",73647
154704,"chunquan li",3,"College of Bioinformatics Science and Technology Harbin Medical University",67851
16461,"zheng wang",0,"Shanghai Key Laboratory of Trustworthy Computing",6289
183991,"changling li",4,"China Academy of Building Research",81597
255332,"lingyu piao",1,"National Center for Nanoscience and Technology",120112
55697,"ying cao",5,"Shanghai Jiai Genetics and IVF Institute",22635
6287,"yuan liu",25,"State Key Laboratory Incubation Base of Dermatology",130506
376762,"chintakunta ramesh",4,"Department of Chemistry",185718
154210,"zu liang luo",0,"Guangxi University of Chinese Medicine",67472
62615,"zheng yu jin",2,"Peking Union Medical College Hospital",192405
143095,"yu po hsu",2,"Department of Electrical Engineering",62131
385478,"hua xiong",0,"Department of Gastroenterology",190239
128113,"shipeng sun",3,"Clinical Laboratories",55463
19576,"jiang wu",0,"Jiangsu Key Laboratory of Molecular Medicine",7470
256262,"xiu jie hu",1,"Institute of Photographic Chemistry",120709
374162,"zilong hu",4,"University of Chinese",184245
183953,"bingjing xu",0,"Center for Intelligence Science and Technology Research",81578
67099,"jian rong li",6,"State Key Laboratory of Optoelectronic Materials and Technologies",81164
122769,"zheng yu",5,"State Key Lab of ASIC and System Fudan University",53467
145310,"qiang lv",8,"Department of Urology",91538
289084,"bo ai",0,"Dept of Telecommunications Engineering",174167
398939,"ruiguo chen",3,"Maintenance Branch State Grid Liaoning Power Co Ltd",197634
200467,"zhangdui zhong",1,"State Key Laboratory of Rail Traffic Control and Safety",174239
370535,"rong yu",2,"School of Science",182302
184920,"yi chen",5,"State Key Lab of Adv Electromagnetic Eng and Technol Huazhong Univ of Science and Technology",82044
52335,"xuequn zhang",0,"Digestive Department",194893
9197,"z yu",9,"Nature Reservation of Cycas Panzhihuaensis",3595
271147,"long meng",0,"Paul C Lauterbur Research Center for Biomedical Imaging",128473
99623,"chien huei chang",5,"Institute of Oral Medicine",42886
10199,"jue wang",0,"Department of Breast Surgery",197992
17747,"mei tang liu",2,"National Laboratory of Mineral Materials",83680
99525,"yi jung liu",0,"Institute of Microelectronics",42791
361224,"yi kong",1,"Jiangsu Key Laboratory for Biodiversity and Biotechnology",176663
67725,"jianjun yang",0,"Xijing Hospital of Digestive Diseases Xijing Hospital Fourth Military Medical University",63004
252445,"weili lin",4,"Centre for Atmosphere Watch and Services",118755
249295,"yan zhen chen",1,"Sun YatSen University Cancer Center State Key Laboratory of Oncology in South China Collaborative Innovation Center of Cancer Medicine",117225
71805,"san gang wu",1,"Department of Radiation Oncology the First Affiliated Hospital of Xiamen University",30782
347924,"bing bai",2,"Department of Geotechnical and Geoenvironmental Engineering",168555
25451,"li ying cui",7,"Department of Neurology",159757
93655,"sheng guo liu",5,"Comprehensive Technology Centre",40043
284431,"ryuji hayashi",2,"First Department of Internal Medicine",136103
193442,"yuzhi fang",4,"Department of Chemistry",86859
131616,"y ning",1,"Dept of Dermatology and Venereology",57014
309599,"xu cong gao",3,"Institute of Toxicology",149169
9615,"xiaofeng li",5,"Department of Rheumatology",94641
284138,"shanghai gong",1,"Dept of Materials Science and Engineering",135765
251610,"xiaoyan xu",3,"College of Computer Science",118432
326200,"guoxing zhan",2,"Department of Computer Science",158060
163234,"zhi min cao",3,"College of Earth Sciences",71381
369361,"chengcheng hu",3,"Department of GIS and Survey Engineering",181693
96076,"yi zhang",1,"Shanghai Pituitary Tumor Center",41258
20090,"shutao li",1,"College of Electrical and Information Engineering Hunan University",7991
