id,title,venue,year
148744,"Cation size and strain effects in La","Solid State Communications","c_s_xiong"
97680,"Bone marrow mesenchymal stem cells protect against retinal ganglion cell loss in aged rats with glaucoma","Clinical Interventions in Aging","xin_mei_wang"
33434,"Effects of niobium dopant on the electrical properties of SnO2based varistor system","Journal of Materials Science Letters","j_f_wang"
131662,"Application of multiclass SVM for Kansei landscape image retrieval using colour and Kansei factors","Proceedings of SPIE The International Society for Optical Engineering","wen_sheng_yi"
80719,"Effects of alphalipoic acid supplementation in different stages on growth performance antioxidant capacity and meat quality in broiler chickens","British Poultry Science","f_gao"
71097,"A basestate analysis based reactive compensation planning method of distribution network","Dianwang JishuPower System Technology","sihua_peng"
64708,"Relevance of molecular alterations in histopathologic subtyping of lung adenocarcinoma based on 2011 international multidisciplinary lung adenocarcinoma classification","Chinese Journal of Pathology","xin_hua_zhng"
153891,"Impaired bone homeostasis in amyotrophic lateral sclerosis mice with muscle atrophy","Journal of Biological Chemistry","ke_zhu"
178236,"Function of hippocampus in insight of problem solving","Hippocampus","jing_luo"
187155,"Ustekinumab improves healthrelated quality of life in Chinese patients with moderatetosevere plaque psoriasis Results from the LOTUS trial and curative effect observation","Journal of Clinical Dermatology","min_zheng"
148992,"Study on the formation mechanism and harmless treatment technology of flocculate in the crude oil gathering and transferring process","Petroleum Science and Technology","s_x_xie"
70524,"Sol gel synthesis and electrochemical properties of LiMn 18Co 02O 4 cathode material","AsiaPacific Power and Energy Engineering Conference APPEEC","y_b_lin"
91765,"Multicore based highly parallel and flexible framework for HEVC motion estimation","Proceedings 2014 IEEE 12th International Conference on SolidState and Integrated Circuit Technology ICSICT 2014","yibo_fan"
652,"Gettering of Fe impurities by bulk stacking faults in Czochralskigrown silicon","Applied Physics Letters","b_shen"
110938,"Electron temperature measurement of radiationheated CH foam on Shenguang II laser facility","Plasma Science and Technology","zhimin_hu"
158952,"Profiling the yeast communities of wine fermentations using terminal restriction fragment length polymorphism analysis","American Journal of Enology and Viticulture","kyria_l_boundy_mills"
80710,"Followup study of 25 Chinese children with PLA2G6associated neurodegeneration","European Journal of Neurology","y_zhang"
111224,"Development and production of cashmere warp backedserge","Wool Textile Journal","chun_feng_ni"
73647,"The double role piston pump based on the symmetrical gears and cranklinkslider mechanism driven by servo motor","Applied Mechanics and Materials","kangmin_zhong"
67851,"Identification of subtype specific miRNAmRNA functional regulatory modules in matched miRNAmRNA expression data Multiple myeloma as a case","BioMed Research International","chunquan_li"
6289,"Execution semantics for rCOS","Neonatal Paediatric and Child Health Nursing","zheng_wang"
81597,"SWC Developing situation for solar heating combisystems in China","30th ISES Biennial Solar World Congress 2011 SWC 2011","changling_li"
120112,"Soluble copper phthalocyanine applied for organic solar cells","Journal of Nanoscience and Nanotechnology","lingyu_piao"
22635,"Factors Influencing Pregnancy Outcome Following Slow Cooling Cryoembryo Transfer and Risk of Multiple Conception","Journal of Reproduction and Contraception","ying_cao"
130506,"Genomewide association study identifies two new susceptibility loci for atopic dermatitis in the Chinese Han population","Nature Genetics","yuan_liu"
185718,"CopperIcatalyzed aerobic oxidative azidealkene cycloaddition An efficient synthesis of substituted 123triazoles","Advanced Synthesis and Catalysis","chintakunta_ramesh"
67472,"Application of relative correction factor in multiindex determination of Chinese materia medica","Chinese Traditional and Herbal Drugs","zu_liang_luo"
192405,"Wholebody diffusionweighted imaging Technical improvement and preliminary results","Journal of Magnetic Resonance Imaging","zheng_yu_jin"
62131,"Automatic probe alignment for atomic force microscope","Proceedings of the 2005 IEEE International Conference on Mechatronics ICM 05","yu_po_hsu"
190239,"Inhibition of JAK1 2STAT3 signaling induces apoptosis cell cycle arrest and reduces tumor cell invasion in colorectal cancer cells","Neoplasia","hua_xiong"
55463,"Serum MicroRNA155 as a Potential Biomarker to Track Disease in Breast Cancer","PLoS ONE","shipeng_sun"
7470,"MCLR exposure leads to subfertility of female mice and induces oxidative stress in granulosa cells","Toxins","jiang_wu"
120709,"Improvement of the properties of a functional organized thin film by the introduction of nanoparticles Part I Retardation of photoisomerization rate of a spiropyrancontaining LangmuirBlodgett film by the incorporation of SiO2 nanoparticles","Colloids and Surfaces A Physicochemical and Engineering Aspects","xiu_jie_hu"
184245,"Resonancelike enhancement in highorder abovethreshold ionization of molecules","Physical Review A Atomic Molecular and Optical Physics","zilong_hu"
81578,"Selfrevise hierarchical classifier based on SMO algorithm for chinese question classification","Proceedings of 2008 IEEE International Conference on Networking Sensing and Control ICNSC","bingjing_xu"
81164,"Effect of pump laser intensity on optically pumped D2O gas terahertz laser","Wuli XuebaoActa Physica Sinica","jian_rong_li"
53467,"A 16core processor with sharedmemory and messagepassing communications","IEEE Transactions on Circuits and Systems I Regular Papers","zheng_yu"
91538,"Application of a vasculature model and standardization of the renal hilar approach in laparoscopic partial nephrectomy for precise segmental artery clamping","European Urology","qiang_lv"
174167,"Research on HPA digital baseband predistortion technique based on lookup table method","Dianzi Yu Xinxi XuebaoJournal of Electronics and Information Technology","bo_ai"
197634,"Highresolution missileborne SAR image geometric correction algorithm based on coordinate mapping principle","IEEE International Conference on Control and Automation ICCA","ruiguo_chen"
174239,"Measurements and analysis of shortterm fading behavior for highspeed rail viaduct scenario","IEEE International Conference on Communications","zhangdui_zhong"
182302,"Achieving threedimensional entanglement between two spatially separated atoms by using the quantum Zeno effect","Physical Review A Atomic Molecular and Optical Physics","rong_yu"
82044,"Modeling and simulation of the asynchronous wind turbine","2012 IEEE Innovative Smart Grid Technologies Asia ISGT Asia 2012","yi_chen"
194893,"Functional proteomic analysis of nonalcoholic fatty liver disease in rat models Enoylcoenzyme a hydratase downregulation exacerbates hepatic steatosis","Hepatology","xuequn_zhang"
3595,"Carbon storage of cycad and other gymnosperm ecosystems in China Implications to evolutionary trends","Polish Journal of Ecology","z_yu"
128473,"Acoustic aligning and trapping of microbubbles in an enclosed PDMS microfluidic device","Sensors and Actuators B Chemical","long_meng"
42886,"Molecular imaging of cancer cells using plasmonresonantenhanced thirdharmonicgeneration microscopy with silver nanoparticles","2005 Conference on Lasers and ElectroOptics CLEO","chien_huei_chang"
197992,"A novel orthotopic and metastatic mouse model of breast cancer in human mammary microenvironment","Breast Cancer Research and Treatment","jue_wang"
83680,"Effect of seedings on the microstructure of hydrated alumina","Advanced Materials Research","mei_tang_liu"
